num1,num2,num3,num4,num5,num6,num7,powerball
7,10,14,15,16,18,29,15
1,2,3,9,12,19,24,16
3,6,14,16,27,28,31,14
2,6,10,13,14,24,27,2
8,14,20,21,32,33,35,17
2,12,20,24,25,27,34,18
1,2,8,13,19,31,32,16
1,9,13,22,24,29,30,12
10,15,18,24,25,31,34,10
8,11,12,23,25,29,35,15
4,12,15,19,25,26,27,14
3,7,8,9,13,24,33,12
1,9,10,16,24,25,34,14
2,3,10,22,24,25,32,13
2,4,5,17,21,24,29,15
1,12,15,17,18,30,34,16
2,8,11,15,17,23,25,3
5,9,11,20,23,31,35,17
1,2,7,15,16,23,26,1
7,12,14,20,22,24,35,9
3,11,13,19,21,23,31,15
1,7,11,13,14,20,26,4
3,5,6,21,23,32,34,7
10,14,22,24,31,32,35,20
2,3,19,20,21,24,27,14
3,4,7,12,16,31,34,14
2,18,20,26,29,33,35,8
3,6,11,16,19,27,32,16
1,9,14,21,26,27,35,5
3,6,9,11,28,30,33,4
5,6,7,18,21,23,31,16
6,12,15,16,27,30,33,19
5,6,15,16,23,24,30,4
4,7,12,15,21,27,32,4
13,16,18,19,20,21,30,16
2,3,6,16,17,28,31,9
3,5,8,14,15,17,25,7
1,3,4,9,17,20,26,16
5,17,20,21,22,26,32,17
2,7,15,18,26,30,35,15
8,11,17,20,22,30,31,6
1,3,8,12,14,23,29,3
8,13,14,15,24,33,34,20
10,12,13,15,22,28,33,14
1,6,11,14,18,23,27,11
1,6,7,20,21,23,29,7
3,4,6,8,31,32,33,12
2,5,11,17,18,19,33,7
3,5,19,23,29,30,35,1
1,17,18,23,25,26,31,12
